Region_group_of_destination,Location code of destination,WORLD,Latin America and the Caribbean,Europe and Northern America,Developed regions,Less developed regions,Less developed regions excluding least developed,Middle-income countries,Upper-middle-income-countries,Lower-middle-income countries,Low-income countries,AFRICA,ASIA,EUROPE,Caribbean,Central America,South America,NORTHERN AMERICA,year
  Land-locked Developing Countries (LLDC),1636,13821420,250864,4648966,4655635,8284402,3439156,8087499,4913914,3173585,4661418,5951257,2086627,4631683,5164,12907,232793,17283,2015
  Small island developing States (SIDS),1637,5273967,1016688,575191,615548,4202764,3358052,3363293,2181840,1181453,607696,145398,2978559,269953,841699,59937,115052,305238,2015
  High-income countries,1503,158516311,30931523,41263089,43040158,110014482,97045121,104191836,54365728,49826108,7817281,16228156,62993405,38458306,7462258,15643964,7825301,2804783,2015
  Middle-income countries,1517,78597464,5124242,18805532,19044147,54742035,33187885,50202388,22580673,27621715,17340438,10567413,39183636,17606310,590912,646288,3887042,1199222,2015
 Upper-middle-income countries,1502,50991477,4903830,13326418,13505357,35095374,25772378,33812153,16219629,17592524,9664597,2781112,27514704,12309888,585155,549706,3768969,1016530,2015
 Lower-middle-income countries,1501,27605987,220412,5479114,5538790,19646661,7415507,16390235,6361044,10029191,7675841,7786301,11668932,5296422,5757,96582,118073,182692,2015
  Low-income countries,1500,10321749,27722,294854,296472,9435710,2605964,3453305,564849,2888456,6181088,8209844,1197622,286096,14158,970,12594,8758,2015
 AFRICA,903,22860792,29928,628931,644194,19305936,4899633,6385904,592323,5793581,12629038,18200172,1078578,581876,13089,1880,14959,47055,2015
  Eastern Africa,910,6696922,59,137310,137873,6086081,435184,804363,63740,740623,5252175,6012262,74040,133530,59,0,0,3780,2015
  Middle Africa,911,3479911,536,61739,61778,2598931,405224,761626,105640,655986,1839818,2593326,5098,59074,536,0,0,2665,2015
  Northern Africa,912,2138918,1498,150099,152952,1923380,1099941,763920,205555,558365,949854,1080681,842945,129679,21,891,586,20420,2015
  Southern Africa,913,3477903,12016,238534,249554,2152220,1142864,1459480,161492,1297988,682336,2013377,128580,223700,3061,559,8396,14834,2015
  Western Africa,914,7067138,15819,41249,42037,6545324,1816420,2596515,55896,2540619,3904855,6500526,27915,35893,9412,430,5977,5356,2015
 ASIA,935,77191249,376798,7070539,7278180,66082411,46380815,56889637,17986807,38902830,12864649,4166307,61654516,6573735,449,5262,371087,496804,2015
  Central Asia,5500,5392792,22,4300929,4301038,747141,734472,4881551,3977590,903961,107173,174,746945,4300606,22,0,0,323,2015
  Eastern Asia,906,7866663,292094,290678,361768,7135612,7012850,6233725,4845640,1388085,633,8654,6872184,107266,0,2141,289953,183412,2015
  South-Eastern Asia,920,10161147,1685,167857,270941,9270328,4490571,8997281,3322513,5674768,13149,7107,9321371,81842,143,218,1324,86015,2015
  Southern Asia,5501,13873473,14956,161546,183130,13003326,4633642,8442523,788345,7654178,4412181,60093,12944203,74681,37,0,14919,86865,2015
  Western Asia,922,39897174,68041,2149529,2161303,35926004,29509280,28334557,5052719,23281838,8331513,4090279,31769813,2009340,247,2903,64891,140189,2015
 EUROPE,908,74759083,4487571,39390649,39867195,33693430,30222775,46096682,26735133,19361549,3219234,9536606,19797557,38418244,813625,264754,3409192,972405,2015
  Eastern Europe,923,19833989,15579,11341361,11350292,8022841,7986426,17186437,10529120,6657317,588909,33057,7978239,11293059,4564,2207,8808,48302,2015
  Northern Europe,924,13191086,541580,6311494,6583974,6397081,5293968,5873430,2617872,3255558,859279,1742998,4155350,5907202,265394,28321,247865,404292,2015
  Southern Europe,925,15815457,2997487,8621005,8694889,7077708,6282660,9969528,6228956,3740572,346700,2473218,1620565,8433266,372394,165953,2459140,187739,2015
  Western Europe,926,25918551,932925,13116789,13238040,12195800,10659721,13067287,7359185,5708102,1424346,5287333,6043403,12784717,171273,68273,693379,332072,2015
 LATIN AMERICA AND THE CARIBBEAN,904,9441503,6166726,2473848,2554631,6472006,5844693,5207201,4125774,1081427,636121,39533,341807,1291715,993471,691735,4481520,1182133,2015
  Caribbean,915,1501081,940613,420384,421711,966903,423897,323407,304593,18814,543678,2946,24174,175986,832854,15379,92380,244398,2015
  Central America,916,1860215,859613,891348,897199,921607,919405,877813,402179,475634,4055,2208,64562,92826,41860,620056,197697,798522,2015
  South America,931,6080207,4366500,1162116,1235721,4583496,4501391,4005981,3419002,586979,88388,34379,253071,1022903,118757,56300,4191443,139213,2015
 NORTHERN AMERICA,905,55633741,24980329,8026249,8543515,44680435,41767826,39689762,26135020,13554742,1904071,2663579,17273538,6926249,6303743,15308301,3368285,1100000,2015
 OCEANIA ,909,8072276,164648,3002186,3725297,4192572,3828368,3712778,2001083,1711695,146834,505762,3232023,2785934,10930,19290,134428,216252,2015
  Australia and New Zealand,927,7769466,159787,2904774,3603595,4034820,3681497,3587529,1952793,1634736,146834,503256,3146091,2714704,6069,19290,134428,190070,2015
  Melanesia,928,119343,0,47986,63417,47191,38201,35039,18557,16482,0,1787,24471,46991,0,0,0,995,2015
  Micronesia,954,113466,4861,21731,24732,81817,80449,65378,7570,57808,0,0,58076,8,4861,0,0,21723,2015
  Polynesia*,957,70001,0,27695,33553,28744,28221,24832,22163,2669,0,719,3385,24231,0,0,0,3464,2015
WORLD,900,220983187,34637650,58681104,60587161,151638790,116141091,144581899,74175415,70406484,21718616,29193852,88122177,54711301,7273502,16204451,11159697,3969803,2010
  Sub-Saharan Africa,947,15854637,17434,508809,521341,13748957,3021578,4856430,372607,4483823,8822395,13544082,189145,482707,7528,438,9468,26102,2010
  Northern Africa and Western Asia,1833,32638434,67937,2274064,2289696,28547248,22727271,25415582,5800092,19615490,3677421,4373963,24109594,2114469,292,3741,63904,159595,2010
  Central and Southern Asia,921,19676783,14144,4364013,4385378,14384528,5483930,13612014,4692853,8919161,4763288,64628,14321010,4276506,61,0,14083,87507,2010
  Eastern and South-Eastern Asia,1832,15760463,345923,416756,578892,14373649,10208138,13195648,7303444,5892204,12550,15293,14102627,175355,223,2171,343529,241401,2010
  Latin America and the Caribbean,1830,8326588,5344184,2346204,2415773,5592580,5184764,4612680,3672884,939796,418956,27847,285869,1147896,781155,635043,3927986,1198308,2010
  Oceania (excluding Australia and New Zealand),1835,298175,4933,89303,113822,157872,145626,128840,48238,80602,0,3077,88083,63093,4933,0,0,26210,2010
  Australia and New Zealand,927,6830423,127221,2845434,3476542,3248117,2986111,2889873,1628116,1261757,107172,432291,2487507,2685910,5229,16550,105442,159524,2010
  Europe and Northern America,1829,121597684,28715874,45836521,46805717,71585839,66383673,79870832,50657181,29213651,3916834,10732671,32538342,43765365,6474081,15546508,6695285,2071156,2010
  Developed regions,901,130562258,29133420,48795169,50408479,76772235,71295205,84138297,53349971,30788326,4024006,11171167,36667598,46503827,6479310,15565014,7089096,2291342,2010
  Less developed regions,902,90420929,5504230,9885935,10178682,74866555,44845886,60443602,20825444,39618158,17694610,18022685,51454579,8207474,794192,639437,4070601,1678461,2010
" Less developed regions, excluding least developed countries",934,79989053,5473621,9711388,9987056,65939422,41871676,56265436,20084868,36180568,13040289,11044991,49526084,8087603,785179,638919,4049523,1623785,2010
" Less developed regions, excluding China",948,86472612,5453507,9804385,10065169,71189053,41180283,57145639,18059543,39086096,17694610,18022685,47809962,8173719,794192,639437,4019878,1630666,2010
